model,scope,seed,horizon_s,rmse_deg,mae_deg,r2
Hs=3,LOHO,1,4,3.2452711863190427,2.7263846015242015,0.16210165191066828
Hs=3,LOHO,1,5,3.284403898050142,2.7603271968699117,0.1417307349992818
Hs=3,LOHO,1,overall,2.4138929494659345,1.8583076680708435,0.5364786607782632
Hs=3,LOHO,2,1,0.9978026603404285,0.8044914054351653,0.9208127497877459
Hs=3,LOHO,2,2,1.35162684407233,1.10309057148666,0.8546876598241135
Hs=3,LOHO,2,3,2.0781960132635033,1.7022012852425126,0.6564523213452673
Hs=3,LOHO,2,4,3.1082018923154418,2.6127976047182053,0.23138689044169936
Hs=3,LOHO,2,5,3.090809299363446,2.5963135924099294,0.23992777387487207
Hs=3,LOHO,2,overall,2.2958843643602145,1.7637788918584947,0.5806914279195738
Hs=3,LOHO,3,1,1.0299556882669545,0.8278463449270116,0.9156270899734398
Hs=3,LOHO,3,2,1.4374737949872045,1.1728988239613527,0.8356427930181631
Hs=3,LOHO,3,3,2.0799735231878684,1.708896457478058,0.6558643878133574
Hs=3,LOHO,3,4,3.122792810346817,2.6208131403264034,0.22415370921778022
Hs=3,LOHO,3,5,3.2969461947781884,2.7806386097068496,0.13516319831214008
Hs=3,LOHO,3,overall,2.369604128788059,1.8222186752799348,0.5533315105420791
Hs=3,LOHO,4,1,0.9986378540193824,0.8035256702259308,0.920680129635977
Hs=3,LOHO,4,2,1.3011510256577141,1.0610997187262259,0.8653382367881173
Hs=3,LOHO,4,3,2.069605175984353,1.698497508768827,0.6592867623915295
Hs=3,LOHO,4,4,3.0886708109370637,2.5961529758298965,0.24101604618336014
Hs=3,LOHO,4,5,3.183640135597851,2.6864569570062136,0.19358539439906464
Hs=3,LOHO,4,overall,2.308635485772317,1.769146566111419,0.5760208948579201
Hs=5,LOHO,0,1,1.5745867455213463,1.255635130015881,0.9162240611859053
Hs=5,LOHO,0,2,1.9788262852745706,1.5873734391662262,0.867699815934021
Hs=5,LOHO,0,3,3.2218467109046847,2.5863501623772978,0.6492896649089623
Hs=5,LOHO,0,4,4.635782304838086,3.763362023734793,0.27392554884054676
Hs=5,LOHO,0,5,4.589374887754298,3.7306958062210454,0.2883893310632579
Hs=5,LOHO,0,overall,3.444654193187819,2.584683312303048,0.5990969484671753
Hs=5,LOHO,1,1,1.5817665619585435,1.265700494668786,0.9154583145953314
Hs=5,LOHO,1,2,1.9996379843520604,1.6063744629206225,0.8649023287411488
Hs=5,LOHO,1,3,3.1911778373569692,2.5566159689688064,0.6559347346624396
Hs=5,LOHO,1,4,4.652042791541524,3.7711271533544144,0.2688230530228922
Hs=5,LOHO,1,5,4.628644360096295,3.7685133478275428,0.2761592860011336
Hs=5,LOHO,1,overall,3.456877326756526,2.5936662855480352,0.5962467432180192
Hs=5,LOHO,2,1,1.573403369483394,1.2564892676827677,0.916349936988214
Hs=5,LOHO,2,2,1.9965534468979764,1.6060786430026435,0.8653187965515107
Hs=5,LOHO,2,3,3.2827447976761914,2.645435828908191,0.6359063870902224
Hs=5,LOHO,2,4,4.70586176314264,3.8419367712058135,0.2518073814474382
Hs=5,LOHO,2,5,4.683630373375052,3.838365654149557,0.2588593939331796
Hs=5,LOHO,2,overall,3.5019927368371646,2.637661232989793,0.5856392750073038
Hs=5,LOHO,3,1,1.5912012815316818,1.2742162962397785,0.9144467798904196
Hs=5,LOHO,3,2,2.0335790620404315,1.6428510616946155,0.8602772159401868
Hs=5,LOHO,3,3,3.215997341466094,2.592471614983946,0.6505619613751237
Hs=5,LOHO,3,4,4.677731106572501,3.8226875626268106,0.2607257232643817
Hs=5,LOHO,3,5,4.625443173670046,3.7797620258488323,0.27716016125274723
Hs=5,LOHO,3,overall,3.4723449448026074,2.6223977122787976,0.592625513848551
Hs=5,LOHO,4,1,1.5336188626425553,1.2195888719921308,0.920526744492937
Hs=5,LOHO,4,2,1.9484745961016376,1.5537771553564874,0.8717271916617355
Hs=5,LOHO,4,3,3.1913664032449116,2.553893570205529,0.6558940720028097
Hs=5,LOHO,4,4,4.601124315208256,3.7316044577211174,0.2847415072601227
Hs=5,LOHO,4,5,4.59733278059601,3.7392722337955306,0.285919351474056
Hs=5,LOHO,4,overall,3.424592625315021,2.5596272578141592,0.6037530462776863
Hs=7,LOHO,0,1,2.361266781868915,1.8487344678010156,0.904137096376668
Hs=7,LOHO,0,2,3.0797349928903763,2.407769759051381,0.8368988681793168
Hs=7,LOHO,0,3,4.597831465898878,3.570464389747862,0.6364354914893917
Hs=7,LOHO,0,4,6.618016404285824,5.078138015793541,0.2467896323900961
Hs=7,LOHO,0,5,6.625190657184726,5.092070247694001,0.24537544534311817
Hs=7,LOHO,0,overall,4.977784547403492,3.5994353760175586,0.5739266560041305
Hs=7,LOHO,1,1,2.496215427444715,1.9288821507475435,0.8928666734603354
Hs=7,LOHO,1,2,3.1738030271754267,2.471422158837036,0.8267831168935788
Hs=7,LOHO,1,3,4.585169162244492,3.568302734592127,0.6384352277533607
Hs=7,LOHO,1,4,6.690457010593702,5.108344477371561,0.2302101514970455
Hs=7,LOHO,1,5,6.711351890182655,5.132408057557944,0.22561988596920068
Hs=7,LOHO,1,overall,5.042466709188657,3.641871915821242,0.5627817781715514
Hs=7,LOHO,2,1,2.463420815372927,1.9066489372418751,0.8956631603474348
Hs=7,LOHO,2,2,3.167598406698444,2.458839424427269,0.8274597149529246
Hs=7,LOHO,2,3,4.603367967142988,3.578693875600904,0.6355593883631803
Hs=7,LOHO,2,4,6.717450943398205,5.121112352564853,0.22398589053400175
Hs=7,LOHO,2,5,6.742204125611361,5.149949399570177,0.21848383572625973
Hs=7,LOHO,2,overall,5.057164859266933,3.643048797881016,0.5602291921713478
Hs=7,LOHO,3,1,2.4880123161658125,1.9226164345132084,0.8935696437097601
Hs=7,LOHO,3,2,3.187734846995294,2.476556888940665,0.8252590632774217
Hs=7,LOHO,3,3,4.681559707141806,3.631340254565128,0.6230736339928269
Hs=7,LOHO,3,4,6.688307091228731,5.1295618846183295,0.23070480236829038
Hs=7,LOHO,3,5,6.683149578652354,5.132046308756986,0.2321143816286554
Hs=7,LOHO,3,overall,5.053054523135411,3.658424354278864,0.5609437709138076
Hs=7,LOHO,4,1,2.4676542108045236,1.91299438699081,0.8953042459239374
Hs=7,LOHO,4,2,3.1691998899216447,2.4658903606356177,0.827285204053654
Hs=7,LOHO,4,3,4.524619936244421,3.521404940367456,0.6479214283229437
Hs=7,LOHO,4,4,6.563132455686197,5.051265477266236,0.2592307450908896
Hs=7,LOHO,4,5,6.589261373901437,5.075955089288433,0.25353810866364257
Hs=7,LOHO,4,overall,4.961822324475396,3.6055020509097124,0.576654846890851
10t,LOVO,0,1,5.191543571867648,3.973278981754815,-0.19069725246343117
10t,LOVO,0,2,6.7153615188105595,5.004435770389814,-0.9922213262944073
10t,LOVO,0,3,4.55480166397693,3.4961425782878144,0.08347249657744205
10t,LOVO,0,4,9.161132711845033,6.419025009890424,-2.7047875767359857
10t,LOVO,0,5,10.66187790170578,7.42265188196746,-4.008562929104834
10t,LOVO,0,overall,7.620976527191357,5.263106844458067,-1.5640464006006165
10t,LOVO,1,1,4.707356143276475,3.6849677527488924,0.02104560938056088
10t,LOVO,1,2,5.927290148230335,4.517972848258716,-0.5520694958518109
10t,LOVO,1,3,4.47168496745741,3.481949988021802,0.11661715729495803
10t,LOVO,1,4,7.264275310004739,5.258516511602641,-1.3294294030355203
