model,scope,horizon_s,rmse_deg_mean,rmse_deg_std,mae_deg_mean,mae_deg_std,r2_mean,r2_std,n_seeds
r5,LORO,3,3.2897450176646856,0.015949559277053462,2.4713565202426,0.010378458360028934,0.7163594870473593,0.0027463820078820326,5
ID,ID,4,4.683254884553136,0.014677427574169745,3.5331321731581085,0.009180534130473336,0.4245881470110323,0.00360723419074849,5
Hs=3,LOHO,4,3.1778903220444863,0.10233680294534786,2.673475421229825,0.09247870573048945,0.195868078470098,0.05218502091804644,5
Hs=5,LOHO,4,4.654508456260602,0.039947053648336034,3.78614359372859,0.0451866990528576,0.2680046427670763,0.01256168281441259,5
Hs=7,LOHO,4,6.655472781038531,0.06338966141716863,5.097684441522904,0.03246327833045189,0.23818424437606467,0.014475231924104605,5
10t,LOVO,4,7.620288881289474,0.8898332149230337,5.408347252555091,0.5958723386028665,-1.5913118100701742,0.6381584014213846,5
20t,LOVO,4,4.8076133367094895,0.012674613858752584,3.6410169579388403,0.021947195299079614,0.39966137014597675,0.003167849649449293,5
30t,LOVO,4,4.865339785090906,0.017810326954201608,3.7068577511883154,0.01976994943077326,0.41889392321446284,0.00425849299513668,5
40t,LOVO,4,4.879317592762402,0.012396955026022989,3.73341914219993,0.020005176486132197,0.43317443818339896,0.002883297024959347,5
50t,LOVO,4,4.901941075320459,0.024974664539349607,3.7372019413469895,0.018683944436663245,0.44630679047948457,0.00564582045938419,5
r0,LORO,4,4.682709122238654,0.00744284789790934,3.529904515082214,0.010888774822325423,0.42396747508014754,0.0018314866946249793,5
r1,LORO,4,4.66226678896744,0.00252830455033067,3.5112914212288495,0.011127063199778044,0.42755191091583156,0.0006208184599985694,5
r2,LORO,4,4.667341480068796,0.005179149951009354,3.5222950393682,0.012581823761458746,0.43219125430360245,0.0012606584513215246,5
r3,LORO,4,4.648588549462906,0.005324165301035556,3.50352945661441,0.01690894004466579,0.42844353063718454,0.001308780702954515,5
r4,LORO,4,4.668160630264801,0.011830132747796098,3.5140610602201234,0.00858458576381622,0.4249959666382425,0.0029142476107137665,5
r5,LORO,4,4.688938040665391,0.006614970196579633,3.5388048180287712,0.011023994274770339,0.4235827606204288,0.0016258513444649591,5
ID,ID,5,4.6748989031185735,0.01774433031572148,3.538297750576967,0.019795053713225333,0.4274050113256577,0.0043549854559840635,5
Hs=3,LOHO,5,3.2479396431419167,0.1129607425752384,2.7369100880341324,0.10015692420720895,0.15987018920615576,0.05812906653144277,5
Hs=5,LOHO,5,4.62488511509834,0.03703227006569918,3.771321813568502,0.042578308032473575,0.27729750474487486,0.011604343880056888,5
Hs=7,LOHO,5,6.670231525106507,0.06249532167322528,5.116485820573509,0.031041576634815424,0.2350263314661753,0.014321355444715349,5
10t,LOVO,5,8.888705626714454,0.9958344560713639,6.176431301155867,0.7259104192756377,-2.5161053404339486,0.8373684759172101,5
20t,LOVO,5,4.765472773241223,0.013036020752056185,3.598701424185016,0.01323318817848492,0.410037848509537,0.003228240366858139,5
30t,LOVO,5,4.820741806885989,0.029750411451122744,3.6823519271870255,0.038693143968859436,0.4294767448787641,0.007056057694864782,5
40t,LOVO,5,4.847295793173144,0.01949610888496001,3.702636147760425,0.02794180781976663,0.4405598768672873,0.004502285598881278,5
50t,LOVO,5,4.880541447086609,0.018351032652875614,3.707421080842084,0.015094213835682052,0.4510137213700779,0.004122039074417973,5
r0,LORO,5,4.683672624098817,0.006230970038834475,3.551015235171569,0.005712389192704734,0.42366779364553786,0.0015335353145167984,5
r1,LORO,5,4.660577964537631,0.007205215375105471,3.524616119419515,0.008350459783899757,0.42857665753640106,0.0017674006715021624,5
r2,LORO,5,4.66060157217181,0.007193336678341051,3.53019240876095,0.012630340577038587,0.4337876230593272,0.0017465809093824708,5
r3,LORO,5,4.6371134331664114,0.007456256123523196,3.5072414945932797,0.013251281844298104,0.4312406322699974,0.0018302770699256637,5
r4,LORO,5,4.658124067307124,0.020904274140235594,3.516394446835921,0.01416147871696412,0.4274544419404031,0.005138270916809142,5
r5,LORO,5,4.678165356181215,0.010688714794349349,3.538369765001651,0.01570686379447624,0.4261561143364494,0.002621116270372432,5
ID,ID,overall,3.506398842478756,0.011571782548311756,2.464240514616761,0.009248830405379235,0.6774047734419508,0.0021314953041237468,5
Hs=3,LOHO,overall,2.368638446789723,0.06788048747872573,1.820869912967865,0.055321771982259765,0.5534022634144049,0.02562229927979908,5
Hs=5,LOHO,overall,3.4600923653798277,0.02921759747747324,2.5996071601867667,0.030918964821005587,0.5954723053637471,0.0068392464793805,5
Hs=7,LOHO,overall,5.018458592693977,0.04509292619349219,3.629656498981679,0.02575321927277756,0.5669072488303376,0.007769600420532314,5
10t,LOVO,overall,6.557364189566942,0.5981670569499765,4.627392470884459,0.3678322087034786,-0.9109298514007799,0.36688767703703756,5
20t,LOVO,overall,3.6219087815128304,0.012813685771914786,2.562237178373583,0.015468414757952392,0.6593124012694773,0.0024135898757811926,5
30t,LOVO,overall,3.6452070692645755,0.020767228326030236,2.5906388427546383,0.021271341767670822,0.6738048735627397,0.003724290548357641,5
40t,LOVO,overall,3.638388969998765,0.011042219842397612,2.583955886577086,0.013915737107495555,0.6848823849320876,0.0019162206769319746,5
50t,LOVO,overall,3.648692545353368,0.014026707190309243,2.583451889697343,0.011458204649386268,0.6932643416365245,0.0023551756850491955,5
r0,LORO,overall,3.5095044088597804,0.005574173306100626,2.4691151368988242,0.005725141951080912,0.6764885884992646,0.001027111024291236,5
r1,LORO,overall,3.4967395638163206,0.004690055134200097,2.4573072419151147,0.005824910238450288,0.6780155426663537,0.0008637294266526992,5
r2,LORO,overall,3.4987014674049766,0.00591966229694784,2.461605650052862,0.008507455089837744,0.6809501050238234,0.0010792209278662251,5
r3,LORO,overall,3.4804457596000775,0.005438745721433179,2.444704155092434,0.008921338491362021,0.6796329382921512,0.0010022042554492312,5
r4,LORO,overall,3.4962893786234566,0.012390430913560284,2.4512866380875336,0.0106736819492296,0.6774164614425697,0.0022861788146024656,5
r5,LORO,overall,3.5118593384254675,0.006519064698833736,2.4661044701226547,0.0017757373536772464,0.6767198624484678,0.0011994013425902306,5
