n_events,n_detected,detection_rate,missed_event_rate,false_episodes,n_episodes,false_episodes_per_hour,precision,lead_mean_s,lead_p10_s,lead_p50_s,lead_p90_s,duration_h,false_alert_rate,lead_time_s,threshold_deg,alarm,k,n,alpha,seed
2545,2446,0.9611001964636542,0.03889980353634581,277,865,31.220061989292756,0.6797687861271676,4.476696647587898,3.0,5.0,5.0,8.8725,0.3202312138728324,4.476696647587898,15,prob,2,5,0.24036431750769016,2
2545,2266,0.8903732809430256,0.10962671905697441,274,925,30.881938574246266,0.7037837837837838,4.339805825242719,2.0,5.0,5.0,8.8725,0.2962162162162162,4.339805825242719,15,prob,3,5,0.24036431750769016,2
2545,1524,0.5988212180746562,0.40117878192534384,279,926,31.445477599323752,0.6987041036717062,3.9429133858267718,1.0,5.0,5.0,8.8725,0.3012958963282938,3.9429133858267718,15,prob,5,5,0.24036431750769016,2
2545,2529,0.993713163064833,0.006286836935166962,192,600,21.639898562975485,0.68,4.7417951759588775,4.0,5.0,5.0,8.8725,0.31999999999999995,4.7417951759588775,15,prob,1,7,0.24036431750769016,2
2545,2326,0.9139489194499018,0.08605108055009825,218,714,24.570301493378416,0.6946778711484594,4.55116079105761,3.0,5.0,5.0,8.8725,0.30532212885154064,4.55116079105761,15,prob,3,7,0.24036431750769016,2
2545,1881,0.7390962671905698,0.26090373280943024,210,758,23.668639053254438,0.7229551451187335,4.389154704944179,2.0,5.0,5.0,8.8725,0.2770448548812665,4.389154704944179,15,prob,5,7,0.24036431750769016,2
2545,1158,0.4550098231827112,0.5449901768172888,173,654,19.498450267681037,0.735474006116208,3.924006908462867,1.0,5.0,5.0,8.8725,0.26452599388379205,3.924006908462867,15,prob,7,7,0.24036431750769016,2
2545,2529,0.993713163064833,0.006286836935166962,130,428,14.652014652014651,0.6962616822429907,4.814946619217082,5.0,5.0,5.0,8.8725,0.3037383177570093,4.814946619217082,15,prob,1,10,0.24036431750769016,2
2545,2379,0.9347740667976424,0.06522593320235759,140,504,15.779092702169624,0.7222222222222222,4.684321143337537,4.0,5.0,5.0,8.8725,0.2777777777777778,4.684321143337537,15,prob,3,10,0.24036431750769016,2
2545,2114,0.8306483300589391,0.16935166994106088,149,547,16.7934629473091,0.7276051188299817,4.634342478713339,3.0,5.0,5.0,8.8725,0.2723948811700183,4.634342478713339,15,prob,5,10,0.24036431750769016,2
